Children,Car,HHIncome,ID,Elderly,City,CityShape,RoadDens,TransSup,LN_INC,Worker,VKMS,LN_VKMS
0,1,426,121,0,2,0.622093254,0.544679519,1.492690159,6.056784013,1,2915.27007,7.977717743
0,1,831,122,0,2,0.622093254,0.544679519,1.492690159,6.723832441,1,5147.914371,8.546346935
0,1,509,123,0,2,0.622093254,0.544679519,1.492690159,6.234410726,1,4101.200411,8.319034993
0,2,758,124,0,2,0.622093254,0.544679519,1.492690159,6.632001777,1,12877.14362,9.463209207
3,2,727,125,0,2,0.622093254,0.544679519,1.492690159,6.590301048,1,25363.4373,10.14106394
1,1,686,126,0,2,0.622093254,0.544679519,1.492690159,6.532334292,1,3487.879719,8.1570493
0,1,727,127,0,2,0.622093254,0.544679519,1.492690159,6.590301048,1,6658.760334,8.80368861
0,2,831,128,0,2,0.622093254,0.544679519,1.492690159,6.723832441,1,9344.598266,9.14255373
1,2,727,129,0,2,0.622093254,0.544679519,1.492690159,6.590301048,1,21240.50268,9.963665142
3,1,416,130,0,2,0.622093254,0.544679519,1.492690159,6.033086222,1,6342.271365,8.754992243
4,1,145,131,0,2,0.622093254,0.544679519,1.492690159,4.983606622,0,8111.842193,9.001080272
0,1,634,132,0,2,0.622093254,0.544679519,1.492690159,6.453624999,1,7253.522711,8.889242521
1,1,831,133,0,2,0.622093254,0.544679519,1.492690159,6.723832441,1,7667.07011,8.944689828
0,1,696,134,0,2,0.622093254,0.544679519,1.492690159,6.546785411,1,8122.4365,9.00238545
4,1,623,135,0,2,0.622093254,0.544679519,1.492690159,6.436150368,1,10053.90182,9.215716079
0,1,353,136,0,2,0.622093254,0.544679519,1.492690159,5.869296913,1,7225.243958,8.885336278
2,1,831,137,0,2,0.622093254,0.544679519,1.492690159,6.723832441,1,5257.813888,8.567470609
1,1,571,138,0,2,0.622093254,0.544679519,1.492690159,6.349138991,1,12157.15419,9.405673097
1,2,634,139,0,2,0.622093254,0.544679519,1.492690159,6.453624999,1,6140.890341,8.722725017
0,1,1091,140,0,2,0.622093254,0.544679519,1.492690159,6.995766156,1,12821.3131,9.458864151
0,1,249,141,1,2,0.622093254,0.544679519,1.492690159,5.521460918,0,4146.680148,8.330063329
2,2,1454,142,0,2,0.622093254,0.544679519,1.492690159,7.28276118,1,10482.55552,9.257467775
1,1,468,143,0,2,0.622093254,0.544679519,1.492690159,6.150602768,1,4266.870799,8.358636004
0,1,1039,144,0,2,0.622093254,0.544679519,1.492690159,6.946975992,1,10669.28841,9.275124651
2,1,873,145,0,2,0.622093254,0.544679519,1.492690159,6.773080376,1,20960.96218,9.950417043
0,2,1351,146,0,2,0.622093254,0.544679519,1.492690159,7.209340257,1,8201.360445,9.012055327
3,1,587,147,0,2,0.622093254,0.544679519,1.492690159,6.376726948,1,8914.600773,9.095445748
3,2,1247,148,0,2,0.622093254,0.544679519,1.492690159,7.129297549,1,26849.70127,10.19800997
0,2,1080,149,0,2,0.622093254,0.544679519,1.492690159,6.985641818,1,6891.013827,8.837973498
1,2,519,150,0,2,0.622093254,0.544679519,1.492690159,6.253828812,1,26675.74973,10.19151018
1,1,609,151,0,2,0.622093254,0.544679519,1.492690159,6.413458957,1,8502.668924,9.048135384
0,1,770,152,0,2,0.622093254,0.544679519,1.492690159,6.647688374,1,12773.02995,9.455091192
0,1,488,153,1,2,0.622093254,0.544679519,1.492690159,6.192362489,0,5751.452942,8.657207787
0,2,748,154,0,2,0.622093254,0.544679519,1.492690159,6.618738984,1,6960.738968,8.848040921
0,1,641,155,0,2,0.622093254,0.544679519,1.492690159,6.464588304,1,13056.13498,9.477013416
1,1,790,156,0,2,0.622093254,0.544679519,1.492690159,6.673297968,1,12612.98421,9.442482055
1,1,644,157,0,2,0.622093254,0.544679519,1.492690159,6.469250317,1,13297.741,9.49534945
0,1,573,158,0,2,0.622093254,0.544679519,1.492690159,6.352629396,1,14988.01607,9.615006232
0,1,644,159,0,2,0.622093254,0.544679519,1.492690159,6.469250317,1,20543.23436,9.930286938
0,1,87,160,0,2,0.622093254,0.544679519,1.492690159,4.477336814,0,2793.339346,7.934993057
0,1,374,162,1,2,0.622093254,0.544679519,1.492690159,5.926926026,0,5096.50372,8.536310039
1,2,644,163,0,2,0.622093254,0.544679519,1.492690159,6.469250317,1,23934.76132,10.08308713
3,2,883,164,0,2,0.622093254,0.544679519,1.492690159,6.784457063,1,16451.12537,9.708149166
1,1,623,165,0,2,0.622093254,0.544679519,1.492690159,6.436150368,1,14912.67161,9.609966574
0,2,706,166,0,2,0.622093254,0.544679519,1.492690159,6.561030666,1,19443.23711,9.875254582
0,1,208,167,0,2,0.622093254,0.544679519,1.492690159,5.342334252,1,3602.40049,8.189355705
1,1,831,168,0,2,0.622093254,0.544679519,1.492690159,6.723832441,1,19532.76769,9.879848729
2,2,623,169,0,2,0.622093254,0.544679519,1.492690159,6.436150368,1,7409.921936,8.910575183
1,2,997,170,0,2,0.622093254,0.544679519,1.492690159,6.905753276,1,41206.71959,10.62635662
2,1,1060,171,0,2,0.622093254,0.544679519,1.492690159,6.966967139,1,6714.595212,8.812038826
0,1,291,172,0,2,0.622093254,0.544679519,1.492690159,5.676753802,1,2949.784883,7.989487526
1,1,883,173,0,2,0.622093254,0.544679519,1.492690159,6.784457063,1,5886.179607,8.680362443
1,1,939,174,0,2,0.622093254,0.544679519,1.492690159,6.845879875,1,9177.837605,9.124546901
0,1,592,175,1,2,0.622093254,0.544679519,1.492690159,6.385194399,0,5937.036215,8.688965334
0,1,914,176,0,2,0.622093254,0.544679519,1.492690159,6.818924065,1,8112.73332,9.001190121
0,1,347,177,1,2,0.622093254,0.544679519,1.492690159,5.85220248,0,6305.412628,8.749163691
1,1,618,178,0,2,0.622093254,0.544679519,1.492690159,6.428105273,1,7735.392699,8.953561531
2,1,468,179,0,2,0.622093254,0.544679519,1.492690159,6.150602768,1,9426.734356,9.151305012
1,1,1195,180,0,2,0.622093254,0.544679519,1.492690159,7.086737935,1,22353.08722,10.01471972
3,1,831,181,0,2,0.622093254,0.544679519,1.492690159,6.723832441,1,5284.137659,8.572464717
0,1,644,182,0,2,0.622093254,0.544679519,1.492690159,6.469250317,1,5402.537879,8.5946241
2,1,623,184,0,2,0.622093254,0.544679519,1.492690159,6.436150368,1,8078.484619,8.996959587
2,1,677,185,0,2,0.622093254,0.544679519,1.492690159,6.519147288,1,13095.42153,9.480017946
1,1,312,186,0,2,0.622093254,0.544679519,1.492690159,5.746203191,0,2916.740517,7.97822201
0,1,349,187,0,2,0.622093254,0.544679519,1.492690159,5.857933154,0,4885.656321,8.49405891
0,1,727,188,0,2,0.622093254,0.544679519,1.492690159,6.590301048,1,3684.893802,8.211996985
2,1,509,189,0,2,0.622093254,0.544679519,1.492690159,6.234410726,1,6702.048827,8.810168554
0,1,249,190,1,2,0.622093254,0.544679519,1.492690159,5.521460918,0,5124.357219,8.541760376
0,1,249,191,1,2,0.622093254,0.544679519,1.492690159,5.521460918,0,3883.661884,8.264533772
3,1,675,192,0,2,0.622093254,0.544679519,1.492690159,6.516193076,1,18602.86991,9.831071144
0,1,187,193,1,2,0.622093254,0.544679519,1.492690159,5.236441963,0,3095.04348,8.037557234
2,2,488,194,0,2,0.622093254,0.544679519,1.492690159,6.192362489,1,9004.421065,9.105470965
1,1,655,195,0,2,0.622093254,0.544679519,1.492690159,6.486160789,1,7372.073813,8.905454331
0,1,450,196,0,2,0.622093254,0.544679519,1.492690159,6.11146734,1,5450.346246,8.603434417
2,1,893,198,0,2,0.622093254,0.544679519,1.492690159,6.795705775,1,19958.91245,9.901431062
0,1,727,199,0,2,0.622093254,0.544679519,1.492690159,6.590301048,1,19273.83581,9.866503798
0,1,353,200,0,2,0.622093254,0.544679519,1.492690159,5.869296913,0,3030.755021,8.016567049
0,2,623,201,0,3,0.844671767,0.654020162,0.790292904,6.436150368,1,37721.26514,10.53797928
3,1,1854,202,0,3,0.844671767,0.654020162,0.790292904,7.525639975,1,39652.53699,10.58791021
0,1,229,203,1,3,0.844671767,0.654020162,0.790292904,5.438079309,0,5529.165862,8.617792245
0,1,519,204,0,3,0.844671767,0.654020162,0.790292904,6.253828812,0,6879.98013,8.836371043
0,1,935,205,0,3,0.844671767,0.654020162,0.790292904,6.841615476,1,12248.18286,9.413132867
2,1,779,206,0,3,0.844671767,0.654020162,0.790292904,6.65929392,1,24134.01141,10.09137739
1,2,1039,207,0,3,0.844671767,0.654020162,0.790292904,6.946975992,1,19374.88801,9.871733074
0,1,312,208,1,3,0.844671767,0.654020162,0.790292904,5.746203191,0,5783.357227,8.662739628
1,2,706,209,0,3,0.844671767,0.654020162,0.790292904,6.561030666,1,42394.29508,10.65476908
1,1,748,210,0,3,0.844671767,0.654020162,0.790292904,6.618738984,1,21224.40444,9.962906952
3,1,727,211,0,3,0.844671767,0.654020162,0.790292904,6.590301048,1,26585.94125,10.18813783
0,1,623,212,0,3,0.844671767,0.654020162,0.790292904,6.436150368,1,12553.92015,9.437788258
2,1,717,214,0,3,0.844671767,0.654020162,0.790292904,6.576469569,1,11982.75921,9.391224163
0,1,281,215,1,3,0.844671767,0.654020162,0.790292904,5.641907071,0,8338.62013,9.02865303
2,1,623,216,0,3,0.844671767,0.654020162,0.790292904,6.436150368,1,22263.73973,10.01071461
1,1,1046,217,0,3,0.844671767,0.654020162,0.790292904,6.953684211,1,18388.4744,9.819479356
1,1,939,218,0,3,0.844671767,0.654020162,0.790292904,6.845879875,1,21769.55406,9.98826767
0,1,291,219,1,3,0.844671767,0.654020162,0.790292904,5.676753802,0,6067.886192,8.710765585
